,sentence1,sentence2,similarity_score,TFIDF_cosine_score,rank_by_TFIDF_cosine_score,rank_by_similarity_score,d,d^2
0,plane take,air plane take,5.0,0.7214719402113192,4305,5749,-1444,2085136
1,man play large flute,man play flute,3.799999952316284,0.8698673472898946,5268,4143,1125,1265625
2,man spread screwed cheese penza,man spread shrouded cheese unhooked penza,3.799999952316284,0.5963396593231797,3384,4145,-761,579121
3,man play chess,man play chess,2.5999999046325684,0.9999999999999998,5585,2508,3077,9467929
4,man play cell,man seat play cell,4.25,0.8017223171035162,4876,4917,-41,1681
5,man fight,man fight,4.25,1.0,5597,4916,681,463761
6,man smoke,man state,0.5,0.23601429547302996,1108,604,504,254016
7,man play piano,man play guitar,1.600000023841858,0.4118965147063531,2081,1489,592,350464
8,man play guitar singing,woman play caustic guitar singing,2.200000047683716,0.7306703417406177,4374,2019,2355,5546025
9,person throw cat ceiling,person throw cat ceiling,5.0,1.0,5604,5504,100,10000
10,man hit man stick,man span man stick,4.199999809265137,0.6265324476472254,3606,4728,-1122,1258884
11,woman pick hold baby kangaroo,woman pick hold baby kangaroo arm,4.599999904632568,0.9196127747209413,5481,5168,313,97969
12,man play flute,man play bamboo flute,3.867000102996826,0.7565188940968381,4567,4335,232,53824
13,person fold piece paper,fold piece paper,4.666999816894531,0.9228836498945192,5492,5317,175,30625
14,man run road,dog run road,1.6670000553131104,0.8097986599958859,4926,1597,3329,11082241
15,dog try bacon,dog try eat bacon,3.75,0.8850796433113919,5345,4003,1342,1800964
16,polar bear slide snow,polar bear slide snow,5.0,1.0,5593,5541,52,2704
17,woman write,woman swim,0.5,0.23420705199828218,1105,601,504,254016
18,cat rub baby face,cat rub baby,3.799999952316284,0.9060355787116398,5432,4154,1278,1633284
19,man ride horse,man ride horse,5.0,1.0000000000000002,5715,5547,168,28224
20,man hour oil pot,man hour wine pot,3.200000047683716,0.6717917659266166,3932,3083,849,720801
21,man play guitar,girl play guitar,2.799999952316284,0.7774566146796076,4707,2657,2050,4202500
22,slide slide,side slide,4.599999904632568,1.0,5638,5153,485,235225
23,woman eat,woman eat meat,3.0,0.7269121717501458,4334,3006,1328,1763584
24,woman feel potato,woman peel potato,5.0,0.5550346601259089,3073,5551,-2478,6140484
25,boy fall bike,boy fall bike,4.800000190734863,1.0,5637,5354,283,80089
26,woman play flute,woman play flute,5.0,1.0,5634,5552,82,6724
27,rabbit run eagle,hare run eagle,4.199999809265137,0.5302186080978742,2862,4772,-1910,3648100
28,woman try dreaded pork chop,woman cook dreaded pork chop,4.199999809265137,0.8221311740223861,4996,4774,222,49284
29,girl fly kite,girl run fly kite,4.0,0.9230086811221763,5493,4606,887,786769
30,man ride mechanical bull,man ride mechanical bull,4.0,1.0,5629,4575,1054,1110916
31,man play guitar,man play guitar,4.908999919891357,0.9999999999999998,5589,5482,107,11449
