,sentence1,sentence2,similarity_score
0,"['plane', 'take']","['air', 'plane', 'take']",5.0
1,"['man', 'play', 'large', 'flute']","['man', 'play', 'flute']",3.799999952316284
2,"['man', 'spread', 'screwed', 'cheese', 'penza']","['man', 'spread', 'shrouded', 'cheese', 'unhooked', 'penza']",3.799999952316284
3,"['man', 'play', 'chess']","['man', 'play', 'chess']",2.5999999046325684
4,"['man', 'play', 'cell']","['man', 'seat', 'play', 'cell']",4.25
5,"['man', 'fight']","['man', 'fight']",4.25
6,"['man', 'smoke']","['man', 'state']",0.5
7,"['man', 'play', 'piano']","['man', 'play', 'guitar']",1.600000023841858
8,"['man', 'play', 'guitar', 'singing']","['woman', 'play', 'caustic', 'guitar', 'singing']",2.200000047683716
9,"['person', 'throw', 'cat', 'ceiling']","['person', 'throw', 'cat', 'ceiling']",5.0
10,"['man', 'hit', 'man', 'stick']","['man', 'span', 'man', 'stick']",4.199999809265137
11,"['woman', 'pick', 'hold', 'baby', 'kangaroo']","['woman', 'pick', 'hold', 'baby', 'kangaroo', 'arm']",4.599999904632568
12,"['man', 'play', 'flute']","['man', 'play', 'bamboo', 'flute']",3.867000102996826
13,"['person', 'fold', 'piece', 'paper']","['fold', 'piece', 'paper']",4.666999816894531
14,"['man', 'run', 'road']","['dog', 'run', 'road']",1.6670000553131104
15,"['dog', 'try', 'bacon']","['dog', 'try', 'eat', 'bacon']",3.75
16,"['polar', 'bear', 'slide', 'snow']","['polar', 'bear', 'slide', 'snow']",5.0
17,"['woman', 'write']","['woman', 'swim']",0.5
18,"['cat', 'rub', 'baby', 'face']","['cat', 'rub', 'baby']",3.799999952316284
19,"['man', 'ride', 'horse']","['man', 'ride', 'horse']",5.0
20,"['man', 'hour', 'oil', 'pot']","['man', 'hour', 'wine', 'pot']",3.200000047683716
21,"['man', 'play', 'guitar']","['girl', 'play', 'guitar']",2.799999952316284
22,"['slide', 'slide']","['side', 'slide']",4.599999904632568
23,"['woman', 'eat']","['woman', 'eat', 'meat']",3.0
24,"['woman', 'feel', 'potato']","['woman', 'peel', 'potato']",5.0
