,sentence1,sentence2,similarity_score,common_word,rank_by_common_word,rank_by_similarity_score,d,d^2
0,"['plane', 'take']","['air', 'plane', 'take']",5.0,2,2042,5749,-3707,13741849
1,"['man', 'play', 'large', 'flute']","['man', 'play', 'flute']",3.799999952316284,3,3478,4143,-665,442225
2,"['man', 'spread', 'screwed', 'cheese', 'penza']","['man', 'spread', 'shrouded', 'cheese', 'unhooked', 'penza']",3.799999952316284,4,3891,4145,-254,64516
3,"['man', 'play', 'chess']","['man', 'play', 'chess']",2.5999999046325684,3,3471,2508,963,927369
4,"['man', 'play', 'cell']","['man', 'seat', 'play', 'cell']",4.25,3,3469,4917,-1448,2096704
5,"['man', 'fight']","['man', 'fight']",4.25,2,2481,4916,-2435,5929225
6,"['man', 'smoke']","['man', 'state']",0.5,1,738,604,134,17956
7,"['man', 'play', 'piano']","['man', 'play', 'guitar']",1.600000023841858,2,2468,1489,979,958441
8,"['man', 'play', 'guitar', 'singing']","['woman', 'play', 'caustic', 'guitar', 'singing']",2.200000047683716,3,3460,2019,1441,2076481
9,"['person', 'throw', 'cat', 'ceiling']","['person', 'throw', 'cat', 'ceiling']",5.0,4,3905,5504,-1599,2556801
10,"['man', 'hit', 'man', 'stick']","['man', 'span', 'man', 'stick']",4.199999809265137,2,2473,4728,-2255,5085025
11,"['woman', 'pick', 'hold', 'baby', 'kangaroo']","['woman', 'pick', 'hold', 'baby', 'kangaroo', 'arm']",4.599999904632568,5,4609,5168,-559,312481
12,"['man', 'play', 'flute']","['man', 'play', 'bamboo', 'flute']",3.867000102996826,3,3480,4335,-855,731025
13,"['person', 'fold', 'piece', 'paper']","['fold', 'piece', 'paper']",4.666999816894531,3,3502,5317,-1815,3294225
14,"['man', 'run', 'road']","['dog', 'run', 'road']",1.6670000553131104,2,2530,1597,933,870489
15,"['dog', 'try', 'bacon']","['dog', 'try', 'eat', 'bacon']",3.75,3,3495,4003,-508,258064
16,"['polar', 'bear', 'slide', 'snow']","['polar', 'bear', 'slide', 'snow']",5.0,4,3866,5541,-1675,2805625
17,"['woman', 'write']","['woman', 'swim']",0.5,1,735,601,134,17956
18,"['cat', 'rub', 'baby', 'face']","['cat', 'rub', 'baby']",3.799999952316284,3,3489,4154,-665,442225
19,"['man', 'ride', 'horse']","['man', 'ride', 'horse']",5.0,3,3486,5547,-2061,4247721
20,"['man', 'hour', 'oil', 'pot']","['man', 'hour', 'wine', 'pot']",3.200000047683716,3,3456,3083,373,139129
21,"['man', 'play', 'guitar']","['girl', 'play', 'guitar']",2.799999952316284,2,2507,2657,-150,22500
22,"['slide', 'slide']","['side', 'slide']",4.599999904632568,1,681,5153,-4472,19998784
23,"['woman', 'eat']","['woman', 'eat', 'meat']",3.0,2,2508,3006,-498,248004
24,"['woman', 'feel', 'potato']","['woman', 'peel', 'potato']",5.0,2,2511,5551,-3040,9241600
25,"['boy', 'fall', 'bike']","['boy', 'fall', 'bike']",4.800000190734863,3,3428,5354,-1926,3709476
26,"['woman', 'play', 'flute']","['woman', 'play', 'flute']",5.0,3,3427,5552,-2125,4515625
27,"['rabbit', 'run', 'eagle']","['hare', 'run', 'eagle']",4.199999809265137,2,2516,4772,-2256,5089536
28,"['woman', 'try', 'dreaded', 'pork', 'chop']","['woman', 'cook', 'dreaded', 'pork', 'chop']",4.199999809265137,4,3879,4774,-895,801025
29,"['girl', 'fly', 'kite']","['girl', 'run', 'fly', 'kite']",4.0,3,3425,4606,-1181,1394761
30,"['man', 'ride', 'mechanical', 'bull']","['man', 'ride', 'mechanical', 'bull']",4.0,4,3881,4575,-694,481636
31,"['man', 'play', 'guitar']","['man', 'play', 'guitar']",4.908999919891357,3,3421,5482,-2061,4247721
32,"['woman', 'dance', 'singe', 'woman']","['woman', 'dance', 'singe', 'rain']",3.0,3,3418,2985,433,187489
33,"['man', 'slide']","['man', 'slide', 'onion']",2.400000095367432,2,2406,2271,135,18225
34,"['man', 'pour', 'oil', 'pan']","['man', 'pour', 'oil', 'skilled']",4.199999809265137,3,3417,4777,-1360,1849600
35,"['lion', 'play', 'people']","['lion', 'play', 'man']",3.400000095367432,2,2410,3520,-1110,1232100
36,"['dog', 'ride', 'skateboard']","['dog', 'ride', 'skateboard']",5.0,3,3451,5508,-2057,4231249
37,"['carve', 'statue']","['man', 'carve', 'statue']",3.75,2,2385,3998,-1613,2601769
38,"['woman', 'slide', 'onion']","['man', 'cut', 'onion']",2.75,1,704,2542,-1838,3378244
39,"['woman', 'feel', 'shrimp']","['woman', 'peel', 'shrimp']",5.0,2,2386,5512,-3126,9771876
40,"['woman', 'try', 'fish']","['woman', 'cook', 'fish']",4.0,2,2393,4539,-2146,4605316
41,"['woman', 'play', 'electric', 'guitar']","['woman', 'play', 'guitar']",3.5999999046325684,3,3440,3948,-508,258064
42,"['baby', 'tiger', 'play', 'ball']","['baby', 'play', 'doll']",1.600000023841858,2,2545,1488,1057,1117249
43,"['person', 'slide', 'tomato']","['person', 'slide', 'meat']",1.75,2,2457,1622,835,697225
44,"['person', 'cut', 'onion']","['person', 'cut', 'onion']",5.0,3,3580,5522,-1942,3771364
45,"['man', 'play', 'piano']","['woman', 'play', 'violin']",1.0,1,880,993,-113,12769
46,"['woman', 'play', 'flute']","['man', 'play', 'guitar']",1.0,1,903,995,-92,8464
47,"['man', 'cut', 'potato']","['man', 'cut', 'carrot']",2.375,2,2422,2172,250,62500
48,"['kid', 'play', 'guitar']","['boy', 'play', 'guitar']",3.799999952316284,2,2431,4164,-1733,3003289
49,"['boy', 'play', 'guitar']","['man', 'play', 'guitar']",3.200000047683716,2,2432,3208,-776,602176
50,"['man', 'play', 'guitar']","['boy', 'play', 'guitar']",3.200000047683716,2,2434,3204,-770,592900
51,"['little', 'boy', 'play', 'keyboard']","['boy', 'play', 'key', 'board']",4.400000095367432,2,2436,5022,-2586,6687396
52,"['man', 'play', 'guitar']","['man', 'play', 'electric', 'guitar']",3.75,3,3573,4025,-452,204304
53,"['dog', 'lick', 'baby']","['dog', 'lick', 'baby']",4.75,3,3572,5338,-1766,3118756
54,"['woman', 'slide', 'onion']","['man', 'cut', 'onion']",3.200000047683716,1,894,3137,-2243,5031049
