,sentence1,sentence2,similarity_score,sentence_transformers_cosine_score
0,plane take,air plane take,5.0,0.92604893
1,man play large flute,man play flute,3.799999952316284,0.9506584
2,man spread screwed cheese penza,man spread shrouded cheese unhooked penza,3.799999952316284,0.71431947
3,man play chess,man play chess,2.5999999046325684,1.0
4,man play cell,man seat play cell,4.25,0.842476
5,man fight,man fight,4.25,1.0
6,man smoke,man state,0.5,0.25942743
7,man play piano,man play guitar,1.600000023841858,0.43389022
8,man play guitar singing,woman play caustic guitar singing,2.200000047683716,0.53136337
9,person throw cat ceiling,person throw cat ceiling,5.0,0.99999976
10,man hit man stick,man span man stick,4.199999809265137,0.8360716
11,woman pick hold baby kangaroo,woman pick hold baby kangaroo arm,4.599999904632568,0.8995553
12,man play flute,man play bamboo flute,3.867000102996826,0.90095985
13,person fold piece paper,fold piece paper,4.666999816894531,0.9199282
14,man run road,dog run road,1.6670000553131104,0.39791813
15,dog try bacon,dog try eat bacon,3.75,0.94465965
16,polar bear slide snow,polar bear slide snow,5.0,1.0000005
17,woman write,woman swim,0.5,0.30081183
18,cat rub baby face,cat rub baby,3.799999952316284,0.93023723
19,man ride horse,man ride horse,5.0,1.0
20,man hour oil pot,man hour wine pot,3.200000047683716,0.54347634
21,man play guitar,girl play guitar,2.799999952316284,0.51255345
22,slide slide,side slide,4.599999904632568,0.7389788
23,woman eat,woman eat meat,3.0,0.57971317
24,woman feel potato,woman peel potato,5.0,0.77326375
25,boy fall bike,boy fall bike,4.800000190734863,0.99999976
26,woman play flute,woman play flute,5.0,1.0
27,rabbit run eagle,hare run eagle,4.199999809265137,0.7379171
28,woman try dreaded pork chop,woman cook dreaded pork chop,4.199999809265137,0.95825505
29,girl fly kite,girl run fly kite,4.0,0.90215766
30,man ride mechanical bull,man ride mechanical bull,4.0,0.99999994
31,man play guitar,man play guitar,4.908999919891357,0.99999994
32,woman dance singe woman,woman dance singe rain,3.0,0.7977692
33,man slide,man slide onion,2.400000095367432,0.52396476
34,man pour oil pan,man pour oil skilled,4.199999809265137,0.8574304
35,lion play people,lion play man,3.400000095367432,0.7998728
36,dog ride skateboard,dog ride skateboard,5.0,0.9999999
37,carve statue,man carve statue,3.75,0.8972888
38,woman slide onion,man cut onion,2.75,0.51698524
39,woman feel shrimp,woman peel shrimp,5.0,0.8280647
40,woman try fish,woman cook fish,4.0,0.80474144
41,woman play electric guitar,woman play guitar,3.5999999046325684,0.9217466
42,baby tiger play ball,baby play doll,1.600000023841858,0.32660127
43,person slide tomato,person slide meat,1.75,0.5025046
44,person cut onion,person cut onion,5.0,0.9999998
45,man play piano,woman play violin,1.0,0.19641915
46,woman play flute,man play guitar,1.0,0.2399227
47,man cut potato,man cut carrot,2.375,0.47580454
48,kid play guitar,boy play guitar,3.799999952316284,0.8603894
49,boy play guitar,man play guitar,3.200000047683716,0.63414824
50,man play guitar,boy play guitar,3.200000047683716,0.63414824
51,little boy play keyboard,boy play key board,4.400000095367432,0.8346548
52,man play guitar,man play electric guitar,3.75,0.91271985
53,dog lick baby,dog lick baby,4.75,1.0000001
54,woman slide onion,man cut onion,3.200000047683716,0.51698536
55,man play guitar,man play drum,1.555999994277954,0.41522306
56,woman slide pepper,woman cut red pepper,3.937999963760376,0.64509463
57,man play drum,man play drum,5.0,0.99999994
58,woman ride horse,woman ride horse,5.0,0.99999976
59,man eat banana tree,man eat banana,4.0,0.85401344
60,cat play key board,man play keyboard,1.600000023841858,0.56118155
61,man crop tree axe,man cut tree axe,4.75,0.91500664
62,kid play toy phone,little boy play toy phone,3.5,0.8970645
63,man ride motorcycle,man ride horse,1.399999976158142,0.42551085
64,man ride motorcycle,man ride horse,1.399999976158142,0.42551085
65,squirrel spin circle,squirrel run circle,4.0,0.8900698
66,man woman kiss,man woman kiss,5.0,0.99999994
67,man get car,man get car garage,3.8329999446868896,0.675742
68,man dance,man talk,0.6000000238418579,0.2651137
69,man play guitar singing,man play guitar,2.9170000553131104,0.7197736
70,person cut mushroom,person cut mushroom knife,4.199999809265137,0.8928449
71,tiger cub make sound,tiger walk,2.0,0.54239374
72,person slide onion,person peel onion,2.5999999046325684,0.8185897
73,man play piano,man play trumpet,1.600000023841858,0.4182316
74,woman peel potato,woman peel apple,2.0,0.4047355
75,canada eat bamboo,bear eat bamboo,4.199999809265137,0.75103986
76,person peel onion,person peel eggplant,2.0,0.5416162
77,monkey push monkey,monkey push monkey,4.800000190734863,0.9999999
78,squirrel run circle,squirrel move circle,4.400000095367432,0.91790074
79,man tie shoe,man tie shoe,5.0,0.9999998
80,boy singe play piano,boy play piano,3.0,0.8509983
81,dog eat water melon,dog eat piece watermelon,4.25,0.8869432
82,woman chop broccoli,woman chop broccoli knife,4.25,0.9391233
83,man peel potato,man peel potato,3.799999952316284,0.9999999
84,woman play guitar,man play guitar,2.400000095367432,0.56254566
85,woman slide tomato,man slide onion,1.600000023841858,0.31554976
86,man swim underwater,woman swim underwater,2.0,0.5870834
87,man woman talk,man woman eat,1.600000023841858,0.42559743
88,small dog chase ball,dog chase ball,4.0,0.9052607
89,man play cricket,man play basketball,2.200000047683716,0.4706267
90,man ride motorcycle,man ride motorcycle,4.400000095367432,1.0000002
91,man play guitar,man singe play guitar,3.5999999046325684,0.763482
92,man talk telephone,man talk phone,3.5999999046325684,0.94086766
93,man fish,man exercise,0.5,0.22750483
94,man hesitate,man talk,0.800000011920929,0.3366223
95,boy drive,day dance,0.6000000238418579,0.05311671
96,man ride horse,girl ride horse,2.5999999046325684,0.5192336
97,man ride bicycle,monkey ride bike,2.0,0.5004061
98,man slide potato,woman peel potato,2.200000047683716,0.4714251
99,woman peel potato,man slide potato,2.400000095367432,0.47142503
100,man play guitar,play guitar,3.5999999046325684,0.784541
101,woman slide week,woman slide ginger,2.200000047683716,0.5929495
102,man cut paper plate,man cut paper plate,4.800000190734863,1.0
103,man play guitar,man play flute,1.6430000066757202,0.46649686
104,man play piano,man play violin,1.75,0.41702992
105,woman slide meat,woman read meat,2.25,0.67854863
106,man play keyboard,man play keyboard piano,4.0,0.833629
107,lady chop green onion,lady cut green onion,4.800000190734863,0.97160137
108,sit nodule water,woman boil nodule water,3.200000047683716,0.6148852
109,iogel fichte dance ceiling,iogel ritchie dance stand ceiling,4.0,0.70885146
110,man play piano,person play piano,4.400000095367432,0.81179786
111,woman play flute,woman play flute,4.599999904632568,1.0
112,boy check callender,boy look calendar,3.799999952316284,0.4469259
113,woman cut onion,woman chop onion,4.800000190734863,0.95958555
114,man play guitar,man play guitar,4.85699987411499,0.99999994
115,woman sewing machine,woman sewing machine,5.0,0.9999997
116,woman slip pancake,cartoon chef slip pancake,2.532999992370605,0.7638762
117,man run road,car drive road,1.0,0.34267288
118,man ride horse,man talk phone,1.0,0.21097441
119,man ride bike,man ride horse,2.0,0.5140414
120,woman dance,man eat,0.1430000066757202,-0.057264186
121,man play piano,man play flute,2.0,0.42230874
122,man play flute,man play piano,1.600000023841858,0.42230874
123,man spin,man dance,1.600000023841858,0.47852904
124,monkey swinge limb limb,monkey swinge tree tree,3.400000095367432,0.75148404
125,people get train,people get train station,4.0,0.8361088
126,dog jump trampling,dog ounce trampling,4.800000190734863,0.80736667
127,boy play instrument,man play trumpet,2.5,0.47594857
128,woman play guitar,man sing play guitar,1.75,0.41073972
129,woman pick,woman slide tomato,1.0,0.37740266
130,man climb rope,man limb rope,5.0,0.78161204
131,man lift car,man climb wall,1.399999976158142,0.2229247
132,man woman drive street deep,man woman drive road open air vehicle,4.0,0.62588185
133,shortness man sit chair,shortness man sit chair,3.799999952316284,1.0000002
134,woman wrest,woman wrest floor,4.0,0.77626765
135,puppy play blue tennis ball,puppy play tennis ball,4.0,0.9053268
136,kangroo eat,kangaroo eat,4.800000190734863,0.7331456
137,cat play piano,man play guitar,0.6000000238418579,0.07381451
138,man cut carpet knife,man cut carpet knife,4.75,0.99999994
139,woman ride motorize soon road,man ride motor soon,2.200000047683716,0.4481533
140,slide vegetable,slide tomato,3.0,0.554899
141,woman dance,man talk,0.0,-0.005031687
142,dog lick baby droop,dog lick baby,2.200000047683716,0.73838043
143,man row boat,man slide tomato,0.4000000059604645,0.23048113
144,man cut potato,man slice potato,4.800000190734863,0.92338747
145,woman chop garlic,woman dine garlic,4.800000190734863,0.9103014
146,animal run circle,squirrel run circle,3.799999952316284,0.6827316
147,man walk slowly rope bridge,boy walk bridge,3.0,0.6156893
148,man play guitar,man seat room play guitar,4.0,0.8018398
149,man play flute,man play flute,5.0,0.9999999
150,woman crack egg glass bowl,woman crack egg bowl,3.799999952316284,0.9447982
151,man cut fish,man gun fish,3.0,0.58501816
152,man pack suitcase trunk car,man put suitcase car trunk,4.400000095367432,0.90649086
153,man hour oil tomato,man pour oil cut potato,3.799999952316284,0.50931996
154,man slide,man slide,3.0,1.0000004
155,man waddle canoe,man play harp,0.6669999957084656,0.16434395
156,man woman walk wood,man woman walk arm arm wooded area,4.0,0.67219883
157,woman pick kangaroo,woman pick baby kangaroo,3.75,0.838777
158,wish swim,fish swim,4.132999897003174,0.5227761
159,woman mix food processor,woman slender,4.0,0.22551742
160,person surge large wave,person surge,3.5999999046325684,0.7000466
161,man play guitar,man stab target,1.2000000476837158,0.24912801
162,man play flute band,man play guitar,1.600000023841858,0.45529094
163,man spread butter loaf bread,man spread butter bread,4.0,0.9643608
164,person boil nodule,woman boil nodule water,4.0,0.8225878
165,group people dance hill,group people dance,3.200000047683716,0.7474841
166,man dance outside,man play flute,1.0,0.23725754
167,woman feed man,woman mix meat,1.0,0.2641507
168,man put pan oven,woman cut onion,0.6000000238418579,0.11470433
169,woman sit desk,woman ride donkey,0.4000000059604645,0.25657958
170,relics transport patient stretcher,doctor rush patient stretcher,3.400000095367432,0.6776542
171,woman play flute stage,woman play flute,3.5999999046325684,0.9289458
172,baby hand play,hand lay,3.0,0.31814912
173,baby laugh,baby laugh tingling,4.0,0.82387817
174,man play guitar,boy play piano,1.2000000476837158,0.18565977
175,man fold paper,woman slide pepper,0.6000000238418579,0.042062607
176,woman dance,man dance,1.600000023841858,0.59622777
177,cat play,cat fight,2.5999999046325684,0.63771653
178,person write,person write pencil,3.5999999046325684,0.595359
179,man run,man run road,3.5,0.64311516
180,woman roll dough,woman floor rolling dough,3.765000104904175,0.8578291
181,woman add space meat,woman add sugar meat,2.75,0.709346
182,woman add oil fish,woman pour water fish,2.25,0.6175864
183,young boy hold guitar,little boy play guitar,2.75,0.85236585
184,cheetah run,cheetah run field,3.799999952316284,0.92929626
185,man eat penza,man eat slice penza,4.800000190734863,0.8691824
186,orangutan ride bus,monkey ride bus,3.5999999046325684,0.69214106
187,man woman talk dinner,man woman ride bicycle,1.2000000476837158,0.1431453
188,man play guitar,man clean glass door,0.4000000059604645,0.14233886
189,girl singe play guitar,young man singe play guitar,2.400000095367432,0.6321815
190,girl communicate sign language,young girl sign language,3.940999984741211,0.9377524
191,woman weight exercise,woman hair,0.5,0.28093547
192,man get inside car,elderly man get red car,3.75,0.6056797
193,big green ball knock potato,large green ball hit potato,4.0,0.90476453
194,cat play keyboard,cat play piano,3.0,0.7948687
195,dog swim pool,dog swim pool,4.199999809265137,1.0000001
196,man copper chop onion,man machine chop potato,2.0,0.3475504
197,woman slice,woman cut,5.0,0.7282001
198,herd deer cross street,herd carbon cross road,3.0,0.4487639
199,person ride horse,man ride horse,3.799999952316284,0.82690275
200,feed animal,play piano,0.0,-0.023668962
201,slide tortila,ride horse,0.0,0.123363085
202,mix ingredient,sew thing,0.25,0.16905619
203,monster neck dead mouse,chicken pack dead mouse,4.0,0.6355038
204,woman hold kangaroo,woman pick kangaroo,3.25,0.87684166
205,man play frog,cat play camera,0.75,0.1021488
206,man talk,man play guitar,1.5,0.22582
207,man spread butter big piece bread,man smear butter slice garlic bread,3.5,0.7063529
208,man run high wire,man run rope,3.0,0.6399946
209,man mow lawn,woman cut lemon,0.2000000029802322,0.008519454
210,man open door,man play guitar,0.800000011920929,0.20245564
211,man slide potato piece,man cut potato,4.199999809265137,0.76654685
212,woman cut cook octopus,woman chop octopus,3.799999952316284,0.9224339
213,man munch board,dog run water,0.4000000059604645,0.04663139
214,man dance,man eat bread,0.800000011920929,0.17039493
215,play piano,man play guitar,1.2000000476837158,0.23841856
216,fox eat plate brick ratio,box eat plate,2.799999952316284,0.5969484
217,boy play key board,boy play piano,3.200000047683716,0.6859164
218,person play keyboard,play keyboard,5.0,0.91020286
219,man shoot gun,man spit,0.0,0.12647021
220,slide onion,peel potato,1.0,0.26174954
221,man swim,woman slide meat,0.0,-0.015275009
222,man play guitar,man play caustic guitar,3.75,0.74854445
223,woman slide pushkin,woman ride elephant,0.4000000059604645,0.24760096
224,woman dance,woman knead dough,0.4000000059604645,0.17538953
225,woman crack egg bowl,woman place skewer rack,0.6000000238418579,0.18036458
226,car move road,car drive road,4.0,0.82511306
227,dress pan,lay,0.4000000059604645,0.13305357
228,man play guitar,man drain past,0.4000000059604645,0.14394131
229,woman drink vodka,woman exercise,0.4000000059604645,0.23702228
230,woman cut meat piece,woman cut meat,4.800000190734863,0.96607685
231,man rinse speak,man play guitar,0.6000000238418579,0.15642592
232,man sell item,man clean house,0.800000011920929,0.23019361
233,man jump wall,man jump short wall,3.200000047683716,0.8550873
234,runner race track,runner compete race,3.200000047683716,0.85599995
235,man kick soccer ball,man mix bowl,0.6000000238418579,0.1004366
236,woman try,woman ride horse,0.6000000238418579,0.3419202
237,cat lick suck,woman slide cucumber,0.0,0.2635134
238,woman dance fire,woman take bath,1.399999976158142,0.24437854
239,man slide fish open,man slide potato,2.200000047683716,0.544699
240,utter melt pan,man melt butter pan,3.5999999046325684,0.5603832
241,boy dance,lid dance,3.111000061035156,0.47162497
242,woman play game man,man play piano,0.6000000238418579,0.2625585
243,man drive white car,man give interview,0.4000000059604645,0.2814148
244,man drive car,man drive car,4.25,1.0
245,car back space,car back blocked lane,3.0,0.5555345
246,man put cheese penza,man sprinkle cheese penza,5.0,0.8970398
247,boy play piano,boy play piano,5.0,1.0000006
248,man play guitar,man play guitar,3.75,0.99999994
249,man ride horse,man play keyboard,0.2000000029802322,0.1831145
250,man walk rope,man ride mo pad,0.4000000059604645,0.07668887
251,girl play flute,band play stage,1.2860000133514404,0.29464525
252,people step train,group people train,4.599999904632568,0.6026664
253,woman sewing machine,woman read meat,0.6000000238418579,0.20799404
254,dog look swimming pool,dog walk pool,2.0,0.73138016
255,man mutter piece bread,man apply butter bread,5.0,0.53489244
256,man cut potato piece,woman cut vegetable,1.7999999523162842,0.27499276
257,teenage girl dance room,teenage girl dance camera,2.400000095367432,0.7872373
258,lion walk,lion pace pen,2.400000095367432,0.5530106
259,man shoot car,man cut potato,0.4000000059604645,0.18966241
260,black horse run,horse run,4.199999809265137,0.8086294
261,woman evening shrimp,man dance rain,0.0,0.050105706
262,man ride horse,woman wash freeze,0.0,-0.17876385
263,man walk path,man walk tight rope,0.800000011920929,0.3435924
264,man slide potato,woman cut jalepeno,1.399999976158142,0.09324486
265,dog bark ball,dog swim tennis ball,1.5,0.5961179
